Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status,Male,employed_Yes,married_Yes
0,0,1759,3541.0,131,1.0,1,1,True,False,True
2,1,4288,3263.0,133,1.0,0,1,True,False,True
0,0,4843,3806.0,151,1.0,1,1,True,False,False
0,0,13650,0.0,128,1.0,0,1,True,False,True
0,0,4652,3583.0,128,1.0,1,1,True,False,True
0,0,3816,754.0,160,1.0,0,1,True,False,True
1,0,3052,1030.0,100,1.0,0,1,True,False,True
2,0,11417,1126.0,225,1.0,0,1,True,False,True
0,1,7333,0.0,120,1.0,2,0,True,False,False
2,0,3800,3600.0,216,0.0,0,0,True,False,True
3,1,2071,754.0,94,1.0,1,1,True,False,True
0,0,5316,0.0,136,1.0,0,1,True,False,False
0,0,2929,2333.0,139,1.0,1,1,False,False,True
0,1,3572,4114.0,152,0.0,2,0,True,False,True
1,0,7451,0.0,128,1.0,1,1,False,True,False
0,0,5050,0.0,118,1.0,1,1,True,False,False
1,0,14583,0.0,185,1.0,2,1,True,False,True
0,0,3167,2283.0,154,1.0,1,1,False,False,True
1,0,2214,1398.0,85,1.0,0,1,True,False,True
0,0,5568,2142.0,175,1.0,2,0,True,False,True
0,0,10408,0.0,259,1.0,0,1,False,False,False
0,0,5667,2667.0,180,1.0,2,1,True,False,True
0,0,4166,0.0,44,1.0,1,1,False,False,False
0,0,2137,8980.0,137,0.0,1,1,False,False,False
2,0,2957,0.0,81,1.0,1,1,True,False,True
0,1,4300,2014.0,194,1.0,2,1,True,False,True
0,0,3692,0.0,93,1.0,2,1,False,False,False
3,0,23803,0.0,370,1.0,2,1,True,False,True
0,0,3865,1640.0,128,1.0,2,1,True,False,False
1,0,10513,3850.0,160,0.0,0,0,True,True,True
0,0,6080,2569.0,182,1.0,2,0,True,False,True
0,0,20166,0.0,650,1.0,0,1,True,True,False
0,0,2014,1929.0,74,1.0,0,1,True,False,False
0,0,2718,0.0,70,1.0,1,1,True,False,False
0,0,3459,0.0,25,1.0,1,1,True,True,True
0,0,4895,0.0,102,1.0,1,1,True,False,False
3,0,4000,7750.0,290,1.0,1,0,True,False,True
0,0,4583,0.0,84,1.0,2,0,False,False,True
2,0,3316,3500.0,88,1.0,0,1,True,True,True
0,0,14999,0.0,242,0.0,1,0,True,False,False
2,1,4200,1430.0,129,1.0,2,0,True,False,True
2,0,5042,2083.0,185,1.0,2,0,True,False,True
0,0,5417,0.0,168,1.0,0,1,True,False,False
0,0,6950,0.0,175,1.0,1,1,True,True,False
0,0,2698,2034.0,122,1.0,1,1,True,False,True
2,0,11757,0.0,187,1.0,0,1,True,False,True
0,0,2330,4486.0,100,1.0,1,1,False,False,True
2,0,14866,0.0,70,1.0,0,1,False,False,True
1,0,1538,1425.0,30,1.0,0,1,True,False,True
0,0,10000,1666.0,225,1.0,2,0,False,False,False
0,0,4860,830.0,125,1.0,1,1,True,False,True
0,0,6277,0.0,118,0.0,2,0,True,False,False
0,0,2577,3750.0,152,1.0,2,1,True,True,True
0,0,9166,0.0,244,1.0,0,0,True,False,False
2,1,2281,0.0,113,1.0,2,0,True,False,True
0,0,3254,0.0,50,1.0,0,1,True,False,False
3,0,39999,0.0,600,0.0,1,1,True,False,True
1,0,6000,0.0,160,1.0,2,1,True,False,True
1,0,9538,0.0,187,1.0,0,1,True,False,True
0,0,2980,2083.0,120,1.0,2,1,True,False,False
0,0,4583,5625.0,255,1.0,1,1,True,False,True
0,1,1863,1041.0,98,1.0,1,1,True,False,True
0,0,7933,0.0,275,1.0,0,0,True,False,True
1,0,3089,1280.0,121,0.0,1,0,True,False,True
2,0,4167,1447.0,158,1.0,2,1,True,False,True
0,0,9323,0.0,75,1.0,0,1,True,False,True
0,0,3707,3166.0,182,1.0,2,1,True,False,True
0,0,4583,0.0,112,1.0,2,0,False,False,True
0,0,2439,3333.0,129,1.0,2,1,True,False,True
0,0,2237,0.0,63,0.0,1,0,True,False,False
2,0,8000,0.0,200,1.0,1,1,True,False,True
0,1,1820,1769.0,95,1.0,2,1,True,False,True
3,0,51763,0.0,700,1.0,0,1,True,False,True
3,1,3522,0.0,81,1.0,2,0,True,False,True
0,0,5708,5625.0,187,1.0,1,1,True,False,True
0,1,4344,736.0,87,1.0,1,0,True,True,True
0,0,3497,1964.0,116,1.0,2,1,True,False,True
2,0,2045,1619.0,101,1.0,2,1,True,False,True
3,0,5516,11300.0,495,0.0,1,0,True,False,True
1,0,3750,0.0,116,1.0,1,1,True,False,True
0,1,2333,1451.0,102,0.0,0,0,True,False,False
1,0,6400,7250.0,180,0.0,0,0,True,False,True
0,0,1916,5063.0,67,1.0,2,0,True,False,False
0,0,4600,0.0,73,1.0,1,1,True,False,True
1,0,33846,0.0,260,1.0,1,0,True,False,True
0,0,3625,0.0,108,1.0,1,1,False,False,True
0,0,39147,4750.0,120,1.0,1,1,True,True,True
1,0,2178,0.0,66,0.0,2,0,True,True,True
0,0,2383,2138.0,58,1.0,2,1,True,False,True
0,0,674,5296.0,168,1.0,2,1,True,True,True
0,0,9328,0.0,188,1.0,2,1,True,False,True
0,1,4885,0.0,48,1.0,2,1,True,False,False
0,0,12000,0.0,164,1.0,1,0,True,False,False
0,1,6033,0.0,160,1.0,0,0,True,False,True
0,0,3858,0.0,76,1.0,1,1,True,False,False
0,0,4191,0.0,120,1.0,2,1,True,False,False
1,0,3125,2583.0,170,1.0,1,0,True,False,True
0,0,8333,3750.0,187,1.0,2,1,True,False,False
0,1,1907,2365.0,120,1.0,0,1,False,False,False
0,0,3416,2816.0,113,1.0,1,1,False,False,True
0,0,11000,0.0,83,1.0,0,0,True,True,False
1,1,2600,2500.0,90,1.0,1,1,True,False,True
2,0,4923,0.0,166,0.0,1,1,True,False,False
3,1,3992,0.0,128,1.0,0,0,True,False,True
1,1,3500,1083.0,135,1.0,0,1,True,False,True
2,1,3917,0.0,124,1.0,1,1,True,False,True
0,1,4408,0.0,120,1.0,1,1,False,False,False
0,0,3244,0.0,80,1.0,0,1,False,False,False
0,1,3975,2531.0,55,1.0,2,1,True,False,False
0,0,2479,0.0,59,1.0,0,1,True,False,False
0,0,3418,0.0,127,1.0,1,0,True,False,False
0,0,10000,0.0,214,1.0,1,0,False,False,False
3,0,3430,1250.0,128,0.0,1,0,True,False,True
1,0,7787,0.0,240,1.0,0,1,True,True,True
3,1,5703,0.0,130,1.0,2,1,True,True,True
0,0,3173,3021.0,137,1.0,0,1,True,False,True
3,1,3850,983.0,100,1.0,1,1,True,False,True
0,0,150,1800.0,135,1.0,2,0,True,False,True
0,0,3727,1775.0,131,1.0,1,1,True,False,True
2,0,5000,0.0,72,0.0,1,0,True,False,True
2,0,4283,2383.0,127,1.0,1,1,False,False,True
0,0,2221,0.0,60,0.0,0,0,True,False,True
2,0,4009,1717.0,116,1.0,1,1,True,False,True
0,0,2971,2791.0,144,1.0,1,1,True,False,False
0,0,7578,1010.0,175,1.0,1,1,True,False,True
0,0,6250,0.0,128,1.0,1,1,True,False,True
0,0,3250,0.0,170,1.0,2,0,True,False,True
0,1,4735,0.0,138,1.0,0,0,True,True,True
2,0,6250,1695.0,210,1.0,1,1,True,False,True
0,0,4758,0.0,158,1.0,1,1,True,False,True
0,0,6400,0.0,200,1.0,2,1,True,True,False
1,0,2491,2054.0,104,1.0,1,1,True,False,True
0,0,3716,0.0,42,1.0,2,1,True,False,True
0,1,3189,2598.0,120,1.0,2,1,True,False,False
0,0,8333,0.0,280,1.0,1,1,False,False,False
1,0,3155,1779.0,140,1.0,1,1,True,False,True
1,0,5500,1260.0,170,1.0,2,1,True,False,True
0,0,5746,0.0,255,1.0,0,0,True,False,True
0,0,3463,0.0,122,1.0,0,1,False,True,False
1,0,3812,0.0,112,1.0,2,1,False,False,False
1,0,3315,0.0,96,1.0,1,1,True,False,True
2,0,5819,5000.0,120,1.0,2,1,True,False,True
1,1,2510,1983.0,140,1.0,0,0,True,False,True
0,0,2965,5701.0,155,1.0,0,1,True,False,False
2,0,6250,1300.0,108,1.0,2,1,True,True,True
0,1,3406,4417.0,123,1.0,1,1,True,False,True
0,0,6050,4333.0,120,1.0,0,0,True,True,False
2,0,9703,0.0,112,1.0,0,1,True,False,True
1,1,6608,0.0,137,1.0,0,1,True,False,True
1,0,2882,1843.0,123,1.0,1,1,True,False,True
0,0,1809,1868.0,90,1.0,0,1,True,False,True
0,1,1668,3890.0,201,0.0,1,0,True,False,True
2,0,3427,0.0,138,1.0,0,0,False,False,False
0,1,2583,2167.0,104,1.0,2,1,True,True,False
1,1,2661,7101.0,279,1.0,1,1,True,False,True
0,0,16250,0.0,192,0.0,0,0,True,True,False
3,0,3083,0.0,255,1.0,2,1,False,False,False
0,1,6045,0.0,115,0.0,2,0,True,False,False
3,0,5250,0.0,94,1.0,0,0,True,False,True
0,0,14683,2100.0,304,1.0,2,0,True,False,True
3,1,4931,0.0,128,1.0,1,0,True,False,True
1,0,6083,4250.0,330,1.0,0,1,True,False,True
0,0,2060,2209.0,134,1.0,1,1,True,False,False
1,0,3481,0.0,155,1.0,1,0,False,False,False
0,0,7200,0.0,120,1.0,2,1,False,False,False
0,0,5166,0.0,128,1.0,1,1,True,True,False
0,0,4095,3447.0,151,1.0,2,1,True,False,False
2,0,4708,1387.0,150,1.0,1,1,True,False,True
3,0,4333,1811.0,160,0.0,0,1,True,False,True
0,0,3418,0.0,135,1.0,2,0,False,False,False
1,0,2876,1560.0,90,1.0,0,1,False,False,False
0,0,3237,0.0,30,1.0,0,1,False,False,False
0,0,11146,0.0,136,1.0,0,1,True,False,True
0,0,2833,1857.0,126,1.0,2,1,True,False,False
0,0,2620,2223.0,150,1.0,1,1,True,False,True
2,0,3900,0.0,90,1.0,1,1,True,False,True
1,0,2750,1842.0,115,1.0,1,1,True,False,True
0,0,3993,3274.0,207,1.0,1,1,True,False,True
0,0,3103,1300.0,80,1.0,0,1,True,False,True
0,0,14583,0.0,436,1.0,1,1,True,False,True
0,1,4100,0.0,124,1.0,2,1,False,False,True
1,1,4053,2426.0,158,0.0,0,0,True,True,False
0,0,3927,800.0,112,1.0,1,1,True,False,True
2,0,2301,985.7999878,78,1.0,0,1,True,False,True
0,0,1811,1666.0,54,1.0,0,1,False,False,False
0,0,20667,0.0,128,1.0,2,0,True,False,True
0,0,3158,3053.0,89,1.0,2,1,True,False,False
0,0,2600,1717.0,99,1.0,1,0,False,True,False
0,0,3704,2000.0,120,1.0,2,1,True,False,True
0,0,4124,0.0,115,1.0,1,1,False,False,False
0,0,9508,0.0,187,1.0,2,1,True,False,False
0,0,3075,2416.0,139,1.0,2,1,True,False,True
2,0,4400,0.0,127,0.0,1,0,True,False,True
2,0,3153,1560.0,134,1.0,0,1,True,False,True
0,0,5417,0.0,143,0.0,0,0,False,False,False
0,0,2383,3334.0,172,1.0,1,1,True,False,True
3,0,4416,1250.0,110,1.0,0,1,True,False,True
1,0,6875,0.0,200,1.0,1,1,True,False,True
1,0,4666,0.0,135,1.0,0,1,False,False,True
0,0,5000,2541.0,151,1.0,2,0,False,False,False
1,0,2014,2925.0,113,1.0,0,0,True,False,True
0,1,1800,2934.0,93,0.0,0,0,True,False,True
0,1,2875,1750.0,105,1.0,1,1,True,False,True
0,0,5000,0.0,132,1.0,2,1,False,False,False
1,0,1625,1803.0,96,1.0,0,1,True,False,True
0,0,4000,2500.0,140,1.0,2,1,True,False,False
0,1,2000,0.0,128,1.0,0,0,True,False,False
0,0,3762,1666.0,135,1.0,2,1,False,False,False
0,0,2400,1863.0,104,0.0,0,0,False,False,False
0,0,20233,0.0,480,1.0,2,0,True,False,False
2,1,7667,0.0,185,1.0,2,1,True,False,True
0,0,2917,0.0,84,1.0,1,1,False,False,False
0,1,2927,2405.0,111,1.0,1,1,True,False,False
0,0,2507,0.0,56,1.0,2,1,False,False,False
2,0,5746,0.0,144,1.0,2,1,True,True,True
0,0,2473,1843.0,159,1.0,2,0,True,False,True
1,1,3399,1640.0,111,1.0,0,1,True,False,True
2,0,3717,0.0,120,1.0,1,1,True,False,True
0,0,2058,2134.0,88,1.0,0,1,True,False,True
1,0,3541,0.0,112,1.0,1,1,False,False,False
1,0,10000,0.0,155,1.0,2,0,True,True,True
0,0,2400,2167.0,115,1.0,1,1,True,False,True
3,0,4342,189.0,124,1.0,1,1,True,False,True
2,1,3601,1590.0,128,1.0,2,1,True,False,True
0,0,3166,2985.0,132,1.0,2,1,False,False,False
3,0,15000,0.0,300,1.0,2,1,True,False,True
1,0,8666,4983.0,376,0.0,2,0,True,True,True
0,0,4917,0.0,130,0.0,2,1,True,False,False
0,0,5818,2160.0,184,1.0,1,1,True,True,True
0,0,4333,2451.0,110,1.0,0,0,False,False,True
0,0,2500,0.0,67,1.0,0,1,False,False,False
1,0,4384,1793.0,117,1.0,0,1,True,False,False
0,0,2935,0.0,98,1.0,1,1,True,False,False
0,0,2833,0.0,71,1.0,0,1,True,False,False
0,0,63337,0.0,490,1.0,0,1,True,False,True
1,0,9833,1833.0,182,1.0,0,1,True,True,True
0,0,5503,4490.0,70,1.0,1,1,True,True,True
1,0,5250,688.0,160,1.0,2,1,True,False,True
2,0,2500,4600.0,176,1.0,2,1,True,True,True
3,1,1830,0.0,128,0.0,0,0,False,False,False
0,0,4160,0.0,71,1.0,1,1,False,False,False
3,1,2647,1587.0,173,1.0,2,0,True,False,True
0,0,2378,0.0,46,1.0,2,0,False,False,False
1,1,4554,1229.0,158,1.0,0,1,True,False,True
3,1,3173,0.0,74,1.0,1,1,True,False,True
2,0,2583,2330.0,125,1.0,2,1,True,False,True
0,0,2499,2458.0,160,1.0,1,1,True,False,True
0,1,3523,3230.0,152,0.0,2,0,True,False,True
2,1,3083,2168.0,126,1.0,0,1,True,False,True
0,0,6333,4583.0,259,1.0,1,1,True,False,True
0,0,2625,6250.0,187,1.0,2,1,True,False,True
0,0,9083,0.0,228,1.0,1,1,True,False,True
0,0,8750,4167.0,308,1.0,2,0,True,False,False
3,0,2666,2083.0,95,1.0,2,1,True,False,True
0,0,5500,0.0,105,0.0,2,0,False,True,True
0,0,2423,505.0,130,1.0,1,1,False,False,True
0,0,3813,0.0,116,1.0,0,1,False,False,False
2,0,8333,3167.0,165,1.0,2,1,True,False,True
1,0,3875,0.0,67,1.0,0,0,True,False,True
0,1,3000,1666.0,100,0.0,0,0,True,False,True
3,0,5167,3167.0,200,1.0,1,1,True,False,True
1,0,4723,0.0,81,1.0,1,0,False,False,False
2,0,5000,3667.0,236,1.0,1,1,True,False,True
0,0,4750,2333.0,130,1.0,0,1,True,False,True
0,0,3013,3033.0,95,1.0,0,1,True,False,True
0,0,6822,0.0,141,1.0,2,1,True,True,False
0,1,6216,0.0,133,1.0,2,0,True,False,False
0,0,2500,0.0,96,1.0,1,0,True,False,False
0,0,5124,0.0,124,0.0,2,0,True,False,False
1,0,6325,0.0,175,1.0,1,1,True,False,True
0,0,19730,5266.0,570,1.0,2,0,True,False,True
0,0,15759,0.0,55,1.0,1,1,False,True,False
2,0,5185,0.0,155,1.0,1,1,True,False,True
2,0,9323,7873.0,380,1.0,2,1,True,True,True
1,0,3062,1987.0,111,0.0,0,0,True,False,False
0,0,2764,1459.0,110,1.0,0,1,False,False,False
0,0,4817,923.0,120,1.0,0,1,True,False,True
3,0,8750,4996.0,130,1.0,2,1,True,False,True
0,0,4310,0.0,130,1.0,1,1,True,False,True
0,0,3069,0.0,71,1.0,0,0,True,False,False
2,0,5391,0.0,130,1.0,0,1,True,False,True
0,0,3333,2500.0,128,1.0,1,1,True,False,True
0,0,5941,4232.0,296,1.0,1,1,True,False,False
0,0,6000,0.0,156,1.0,0,1,False,False,False
0,0,7167,0.0,128,1.0,0,1,True,True,False
2,0,4566,0.0,100,1.0,0,0,True,False,True
1,0,3667,0.0,113,1.0,0,1,True,False,False
0,1,2346,1600.0,132,1.0,1,1,True,False,False
0,1,3010,3136.0,128,0.0,0,0,True,False,True
0,0,2333,2417.0,136,1.0,0,1,True,False,True
0,0,5488,0.0,125,1.0,2,1,True,False,True
3,0,9167,0.0,185,1.0,2,1,True,False,False
3,0,9504,0.0,275,1.0,2,1,True,False,True
0,0,2583,2115.0,120,1.0,0,1,True,False,True
2,1,1993,1625.0,113,1.0,1,1,True,False,True
2,0,3100,1400.0,113,1.0,0,1,True,False,True
2,0,3276,484.0,135,1.0,1,1,True,False,True
0,0,3180,0.0,71,0.0,0,0,False,False,False
0,0,3033,1459.0,95,1.0,0,1,True,False,True
0,1,3902,1666.0,109,1.0,2,1,True,False,False
0,0,1500,1800.0,103,0.0,1,0,False,False,False
2,1,2889,0.0,45,0.0,0,0,True,False,True
0,1,2755,0.0,65,1.0,2,0,True,False,False
0,0,2500,20000.0,103,1.0,1,1,True,False,False
0,1,1963,0.0,53,1.0,1,1,False,False,False
0,0,7441,0.0,194,1.0,2,0,False,True,False
0,0,4547,0.0,115,1.0,1,1,False,False,False
0,1,2167,2400.0,115,1.0,0,1,True,False,True
0,1,2213,0.0,66,1.0,2,1,False,False,False
1,0,8300,0.0,152,0.0,1,0,True,False,True
3,0,81000,0.0,360,0.0,2,0,True,False,True
1,1,3867,0.0,62,1.0,1,0,False,True,False
0,0,6256,0.0,160,1.0,0,1,True,False,True
0,1,6096,0.0,218,0.0,2,0,True,False,True
0,1,2253,2033.0,110,1.0,2,1,True,False,True
0,1,2149,3237.0,178,0.0,1,0,False,False,True
0,0,2995,0.0,60,1.0,0,1,False,False,False
1,0,2600,0.0,160,1.0,0,0,False,False,False
2,0,1600,20000.0,239,1.0,0,0,True,True,True
0,0,1025,2773.0,112,1.0,2,1,True,False,True
0,0,3246,1417.0,138,1.0,1,1,True,False,True
0,0,5829,0.0,138,1.0,2,1,True,False,True
0,1,2720,0.0,80,0.0,0,0,False,False,False
0,0,1820,1719.0,100,1.0,0,1,True,False,True
1,0,7250,1667.0,110,0.0,0,0,True,False,True
0,0,14880,0.0,96,1.0,1,1,True,False,True
0,0,2666,4300.0,121,1.0,2,1,True,False,True
1,1,4606,0.0,81,1.0,2,0,False,False,False
2,0,5935,0.0,133,1.0,1,1,True,False,True
0,0,2920,16.12000084,87,1.0,2,1,True,False,True
0,1,2717,0.0,60,1.0,0,1,True,False,False
1,0,8624,0.0,150,1.0,1,1,False,True,False
0,0,6500,0.0,105,0.0,2,0,True,False,False
0,0,12876,0.0,405,1.0,1,1,True,False,False
0,0,2425,2340.0,143,1.0,1,1,True,False,True
0,0,3750,0.0,100,1.0,0,1,True,False,False
0,0,10047,0.0,128,1.0,1,1,False,False,True
0,0,1926,1851.0,50,1.0,1,1,True,False,False
0,0,2213,1125.0,128,1.0,0,1,True,False,True
0,0,10416,0.0,187,0.0,0,0,True,True,False
0,1,7142,0.0,138,1.0,2,1,False,True,True
0,0,3660,5064.0,187,1.0,1,1,True,False,False
0,0,7901,1833.0,180,1.0,2,1,True,False,True
3,1,4707,1993.0,148,1.0,1,1,True,False,False
1,0,37719,0.0,152,1.0,1,1,True,False,False
0,0,7333,8333.0,175,1.0,2,1,True,False,True
1,0,3466,1210.0,130,1.0,2,1,True,True,True
2,1,4652,0.0,110,1.0,2,1,True,False,True
0,0,3539,1376.0,55,1.0,2,0,True,False,True
2,0,3340,1710.0,150,0.0,2,0,True,False,True
1,1,2769,1542.0,190,1.0,1,0,True,True,False
2,1,2309,1255.0,125,0.0,2,0,True,False,True
2,1,1958,1456.0,60,1.0,0,1,True,False,True
0,0,3948,1733.0,149,0.0,2,0,True,False,True
0,0,2483,2466.0,90,0.0,2,1,True,False,True
0,0,7085,0.0,84,1.0,1,1,True,True,False
2,0,3859,0.0,96,1.0,1,1,True,False,True
0,0,4301,0.0,118,1.0,0,1,True,False,True
0,0,3708,2569.0,173,1.0,0,0,True,False,True
2,0,4354,0.0,136,1.0,2,1,True,False,False
0,0,8334,0.0,160,1.0,1,0,True,False,True
0,0,2083,4083.0,160,1.0,1,1,True,True,True
3,0,7740,0.0,128,1.0,0,1,True,False,True
0,0,3015,2188.0,153,1.0,2,1,True,False,True
1,1,5191,0.0,132,1.0,1,1,False,False,False
0,0,4166,0.0,98,0.0,1,0,True,False,False
0,0,6000,0.0,140,1.0,2,1,True,False,False
3,1,2947,1664.0,70,0.0,0,0,True,False,True
0,0,16692,0.0,110,1.0,1,1,True,False,True
2,1,210,2917.0,98,1.0,1,1,False,False,True
0,0,4333,2451.0,110,1.0,0,0,True,False,True
1,0,3450,2079.0,162,1.0,1,1,True,True,True
1,1,2653,1500.0,113,0.0,2,0,True,False,True
3,0,4691,0.0,100,1.0,1,1,True,False,True
0,0,2500,0.0,93,1.0,0,1,False,True,False
2,0,5532,4648.0,162,1.0,2,1,True,False,False
2,0,16525,1014.0,150,1.0,2,1,True,True,True
2,0,6700,1750.0,230,1.0,1,1,True,False,True
2,0,2873,1872.0,132,0.0,1,0,True,False,True
1,0,16667,2250.0,86,1.0,1,1,True,True,True
2,0,2947,1603.0,128,1.0,0,0,True,False,True
0,1,4350,0.0,154,1.0,2,1,False,False,False
3,1,3095,0.0,113,1.0,2,1,True,False,True
0,0,2083,3150.0,128,1.0,1,1,True,False,True
0,0,10833,0.0,234,1.0,1,1,True,False,True
2,0,8333,0.0,246,1.0,1,1,True,False,True
1,1,1958,2436.0,131,1.0,2,1,True,False,True
2,0,3547,0.0,80,0.0,2,0,True,False,False
1,0,18333,0.0,500,1.0,0,0,True,False,True
2,0,4583,2083.0,160,1.0,1,1,True,True,True
0,0,2435,0.0,75,1.0,0,0,True,False,False
0,1,2699,2785.0,96,1.0,1,1,True,False,False
1,1,5333,1131.0,186,1.0,0,1,True,False,True
0,1,3691,0.0,110,1.0,2,1,True,False,False
0,1,17263,0.0,225,1.0,1,1,False,True,False
0,0,3597,2157.0,119,0.0,2,0,True,False,True
1,0,3326,913.0,105,1.0,1,1,False,False,True
0,1,2600,1700.0,107,1.0,2,1,True,False,True
0,0,4625,2857.0,111,1.0,0,1,True,False,True
1,0,2895,0.0,95,1.0,1,1,True,True,True
0,0,6283,4416.0,209,0.0,2,0,True,False,False
0,0,645,3683.0,113,1.0,2,1,False,False,False
0,0,3159,0.0,100,1.0,1,1,False,False,False
2,0,4865,5624.0,208,1.0,1,1,True,False,True
